Vegas_Teams,NCAA_Teams
abilenechristian,AlcornState
airforce,ArkansasState
akron,BallState
alabama,Belmont
alabamaam,BethuneCookman
alabamabirmingham,Brown
alabamastate,Butler
albany,California
alcornstate,Canisius
americanuniversity,ClevelandState
appalachianstate,Colgate
arizonastate,Colorado
arkansas,Columbia
arkansaslittlerock,CoppinState
arkansaspinebluff,Creighton
arkansasstate,Denver
army,EasternIllinois
auburn,EasternKentucky
austinpeaystate,FloridaAM
ballstate,FloridaAtlantic
baylor,FloridaGulfCoast
belmont,GardnerWebb
bethunecookmancollege,Grambling
binghamton,Harvard
boisestate,Howard
bostoncollege,Illinois
bostonuniversity,IllinoisState
bowlinggreenstate,IncarnateWord
bradley,Indiana
brighamyoung,IndianaState
brown,IowaState
bryantuniversity,JacksonState
bucknell,KansasState
butler,Lafayette
californiabaptist,Liberty
californiaberkeley,LIU
californiadavis,LongBeachState
californiairvine,Longwood
californialosangeles,Louisiana
californiapolytechnicstatesanluisobispo,Louisville
californiariverside,LoyolaMarymount
californiasantabarbara,Marist
californiastatebakersfield,Marquette
californiastatefullerton,Merrimack
californiastatelongbeach,Michigan
californiastatenorthridge,MiddleTennessee
californiastatesacramento,Minnesota
campbell,Missouri
canisiuscollege,Montana
centralarkansas,MoreheadState
centralconnecticutstate,Navy
centralflorida,NCState
centralmichigan,NewMexico
charlestonsouthern,NewMexicoState
chicagostate,NorthCarolinaCentral
cincinnati,NorthDakotaState
clemson,NorthernKentucky
clevelandstate,OhioState
coastalcarolina,OralRoberts
colgate,OregonState
collegeofcharlestonsouthcarolina,PrairieView
collegeofholycross,Providence
collegeofwilliammary,Quinnipiac
colorado,RhodeIsland
coloradostate,RobertMorris
columbia,SamHoustonState
coppinstate,SanDiego
cornell,SIUEdwardsville
creighton,SouthernMiss
dartmouthcollege,St.Peters
davidsoncollege,Stanford
dayton,TexasAM
delaware,TexasArlington
delawarestate,TexasState
denver,TexasTech
depaul,Tulane
detroitmercy,UCLA
drake,UMassLowell
drexel,UNC
duke,UNCGreensboro
duquesne,UNLV
eastcarolina,Valparaiso
easternillinois,Vanderbilt
easternkentucky,Villanova
easternmichigan,Virginia
easternwashington,VMI
easttennesseestate,WesternKentucky
elonuniversity,WestVirginia
evansville,AlabamaState
fairfield,AlbanyNY
fairleighdickinsonmetropolitan,ArizonaState
florida,ArkansasPineBluff
floridaam,Auburn
floridaatlantic,AustinPeay
floridagulfcoast,Baylor
floridainternational,BowlingGreenState
floridastate,Bryant
fordham,Buffalo
fresnostate,CalPoly
furman,CalStateNorthridge
gardnerwebb,ColoradoState
georgemason,Cornell
georgetown,Dartmouth
georgewashington,Detroit
georgia,Drexel
georgiasouthern,Duke
georgiastate,Duquesne
georgiatech,EastCarolina
gonzaga,EasternWashington
gramblingstate,Florida
grandcanyon,Furman
hampton,GeorgeWashington
hartford,GeorgiaSouthern
harvard,Hofstra
highpoint,Iowa
hofstra,JacksonvilleState
houston,KennesawState
houstonbaptist,LouisianaTech
howard,LoyolaIL
idaho,Marshall
idahostate,Maryland
illinoischicago,MarylandEasternShore
illinoisstate,McNeeseState
illinoisurbana,Mercer
incarnateword,MiamiOH
indiana,MississippiState
indianapurdue,Monmouth
indianapurduefortwayne,MorganState
indianastate,NewHampshire
ionacollege,NorthernIowa
iowa,NotreDame
iowastate,OklahomaState
jacksonstate,Oregon
jacksonville,Pepperdine
jacksonvillestate,PortlandState
jamesmadison,Rice
kansas,Rider
kansasstate,Rutgers
kennesawstate,SaintLouis
kentstate,SaintMarys
