NHL Reference,NHL DK
A.J. Greer,Shea Weber
Aaron Dell,Alexander Nylander
Aaron Ekblad,Alex Killorn
Aaron Ness,Adam Cracknell
Adam Boqvist,Adam Lowry
Adam Clendening,Blake Comeau
Adam Cracknell,Tomas Nosek
Adam Erne,Michael Grabner
Adam Fox,Mikko Koivu
Adam Gaudette,Andreas Johnsson
Adam Henrique,Brett Seney
Adam Johnson,Darcy Kuemper
Adam Larsson,C.J. Smith
Adam Lowry,Casey Cizikas
Adam McQuaid,Martin Fehervary
Adam Pelech,Kevin Roy
Adin Hill,Darren Helm
Adrian Kempe,Anton Khudobin
Alan Quine,Kenny Agostino
Alec Martinez,Kevin Gravel
Aleksander Barkov C,Christian Wolanin
Alex Biega,Oscar Klefbom
Alex Chiasson,Cale Fleury
Alex DeBrincat,Luke Kunin
Alex Formenton,Justin Falk
Alex Galchenyuk,Chris Kreider
Alex Goligoski,Mikko Koskinen
Alex Iafallo,Michael Bunting
Alex Killorn,Jonathan Toews
Alex Lyon,Kris Russell
Alex Nedeljkovic,Jaden Schwartz
Alex Ovechkin C,Dominik Kahun
Alex Pietrangelo C,Justin Braun
Alex Stalock,Nick Seeler
Alex Steen,Matt Hunwick
Alex Tuch,Jack Rodewald
Alexandar Georgiev,Kevin Boyle
Alexander Edler,Adam McQuaid
Alexander Kerfoot,Marc Methot
Alexander Nylander,Brandon Tanev
Alexander Petrovic,Dmytro Timashov
Alexander Radulov,Joakim Nordstrom
Alexander Wennberg,Anton Stralman
Alexandre Fortin,Michael Sgarbossa
Alexandre Texier,Mikka Salomaki
Anders Bjork,Dylan Gambrell
Anders Lee C,Michael Rasmussen
Anders Nilsson,Laurent Dauphin
Andre Burakovsky,Cory Schneider
Andreas Athanasiou,James Neal
Andreas Englund,Kaapo Kakko
Andreas Johnsson,Chris Driedger
Andreas Martinsen,Matt Tennyson
Andrei Svechnikov,Max Lajoie
Andrei Vasilevskiy,Sam Reinhart
Andrej Sekera,Alex Pietrangelo
Andrej Sustr,Ryan NugentHopkins
Andrew Agozzino,Matt Bartkowski
Andrew Cogliano,Ondrej Kase
Andrew Copp,Juuso Valimaki
Andrew Ladd,Alex Ovechkin
Andrew MacDonald,Filip Chytil
Andrew Mangiapane,Anton Lindholm
Andrew Peeke,Andy Greene
Andrew Shaw,Sam Steel
Andy Greene C,Kevin Fiala
Andy Welinski,Brett Pesce
Anthony Beauvillier,Brendan Lemieux
Anthony Bitetto,Calle Jarnkrok
Anthony Cirelli,Oscar Lindberg
Anthony DeAngelo,Hampus Lindholm
Anthony Duclair,Austin Wagner
Anthony Greco,Martin Necas
Anthony Mantha,Caleb Jones
Anthony Peluso,Alex Stalock
Anthony Richard,Noah Juulsen
Anthony Stolarz,Eric Staal
Antoine Roussel,Kyle Capobianco
Anton Blidh,Connor Bunnaman
Anton Khudobin,Radim Simek
Anton Lindholm,Jesperi Kotkaniemi
Anton Stralman,Jack Johnson
Antti Niemi,Bryan Little
Antti Raanta,Vitaly Abramov
Antti Suomela,Ryan Getzlaf
Anze Kopitar C,Josh Archibald
Artem Anisimov,Bogdan Kiselevich
Artemi Panarin,Brayden Point
Artturi Lehkonen,Troy Terry
Ashton Sautner,Curtis McElhinney
Austin Czarnik,Ville Heinola
Austin Wagner,Greg Pateryn
Austin Watson,Shayne Gostisbehere
Auston Matthews,Tyler Toffoli
Barclay Goodrow,Brett Howden
Barrett Hayton,Jordan Nolan
Ben Bishop,Mikkel Boedker
Ben Chiarot,Riley Barber
Ben Gleason,Garnet Hathaway
Ben Harpur,Jacob De La Rose
Ben Hutton,Peter Cehlarik
Ben Lovejoy,Evgeny Kuznetsov
Ben Street,Oliver Kylington
Blake Coleman,Ashton Sautner
Blake Comeau,Ryan Murray
Blake Lizotte,Craig Anderson
Blake Pietila,Jaycob Megna
Blake Wheeler C,Corban Knight
Bo Horvat,Juuse Saros
Bo Horvat C,Andrej Sustr
Bobby Ryan,Ryan McDonagh
Bogdan Kiselevich,Madison Bowey
Boo Nieves,Anthony Stolarz
Boone Jenner,Connor McDavid
Brad Hunt,Torey Krug
Brad Malone,Drake Caggiula
Brad Marchand,Max Pacioretty
Brad Richardson,John Moore
Braden Holtby,Ondrej Palat
Brady Keeper,Gabriel Bourque
Brady Skjei,Magnus Paajarvi
Brady Tkachuk,Brock Nelson
Brandon Carlo,Steven Kampfer
Brandon Davidson,Jack Campbell
Brandon Dubinsky,Austin Czarnik
Brandon Gignac,Antti Niemi
Brandon Manning,Connor Brown
Brandon Montour,Zemgus Girgensons
Brandon Pirri,Paul Byron
Brandon Saad,Marcus Sorensen
Brandon Sutter,Mark Letestu
Brandon Tanev,Matt Read
Brayden McNabb,Brian Lashoff
Brayden Point,Tyler Myers
