
A.J. Greer,A.J. Greer,1.0
Aaron Dell,Aaron Dell,1.0
Aaron Ekblad,Aaron Ekblad,1.0
Aaron Ness,Aaron Ness,1.0
Adam Boqvist,Adam Boqvist,1.0
Luke Glendening,Adam Clendening,0.6666666666666666
Adam Cracknell,Adam Cracknell,1.0
Adam Erne,Adam Erne,1.0
Adam Fox,Adam Fox,1.0
Adam Gaudette,Adam Gaudette,1.0
Adam Henrique,Adam Henrique,1.0
Adam Johnson,Adam Johnson,1.0
Adam Larsson,Adam Larsson,1.0
Adam Lowry,Adam Lowry,1.0
Adam McQuaid,Adam McQuaid,1.0
Adam Pelech,Adam Pelech,1.0
Adin Hill,Adin Hill,1.0
Adrian Kempe,Adrian Kempe,1.0
Alan Quine,Alan Quine,1.0
Alec Martinez,Alec Martinez,1.0
Aleksander Barkov,Aleksander Barkov C,0.9444444444444444
Alex Biega,Alex Biega,1.0
Alex Chiasson,Alex Chiasson,1.0
Alex DeBrincat,Alex DeBrincat,1.0
Alexandre Fortin,Alex Formenton,0.6666666666666666
Alex Galchenyuk,Alex Galchenyuk,1.0
Alex Goligoski,Alex Goligoski,1.0
Alex Iafallo,Alex Iafallo,1.0
Alex Killorn,Alex Killorn,1.0
Alex Lyon,Alex Lyon,1.0
Alex Nedeljkovic,Alex Nedeljkovic,1.0
Alex Ovechkin,Alex Ovechkin C,0.9285714285714286
Alex Pietrangelo,Alex Pietrangelo C,0.9411764705882353
Alex Stalock,Alex Stalock,1.0
Alexander Steen,Alex Steen,0.8
Alex Tuch,Alex Tuch,1.0
Alexandar Georgiev,Alexandar Georgiev,1.0
Alexander Edler,Alexander Edler,1.0
Alexander Kerfoot,Alexander Kerfoot,1.0
Alexander Nylander,Alexander Nylander,1.0
Alex Petrovic,Alexander Petrovic,0.8387096774193549
Alexander Radulov,Alexander Radulov,1.0
Alexander Wennberg,Alexander Wennberg,1.0
Alexandre Fortin,Alexandre Fortin,1.0
Alexandre Texier,Alexandre Texier,1.0
Anders Bjork,Anders Bjork,1.0
Anders Lee,Anders Lee C,0.9090909090909091
Anders Nilsson,Anders Nilsson,1.0
Andre Burakovsky,Andre Burakovsky,1.0
Andreas Athanasiou,Andreas Athanasiou,1.0
Andreas Johnsson,Andreas Englund,0.6451612903225806
Andreas Johnsson,Andreas Johnsson,1.0
Andreas Martinsen,Andreas Martinsen,1.0
Andrei Svechnikov,Andrei Svechnikov,1.0
Andrei Vasilevskiy,Andrei Vasilevskiy,1.0
Andrej Sekera,Andrej Sekera,1.0
Andrej Sustr,Andrej Sustr,1.0
Andrew Agozzino,Andrew Agozzino,1.0
Andrew Cogliano,Andrew Cogliano,1.0
Andrew Copp,Andrew Copp,1.0
Andrew Ladd,Andrew Ladd,1.0
Andrew MacDonald,Andrew MacDonald,1.0
Andrew Mangiapane,Andrew Mangiapane,1.0
Andrew Peeke,Andrew Peeke,1.0
Andrew Shaw,Andrew Shaw,1.0
Andy Greene,Andy Greene C,0.9166666666666666
Andy Welinski,Andy Welinski,1.0
Anthony Beauvillier,Anthony Beauvillier,1.0
Anthony Bitetto,Anthony Bitetto,1.0
Anthony Cirelli,Anthony Cirelli,1.0
Anthony Deangelo,Anthony DeAngelo,0.9375
Anthony Duclair,Anthony Duclair,1.0
Anthony Bitetto,Anthony Greco,0.7142857142857143
Anthony Mantha,Anthony Mantha,1.0
Anthony Deangelo,Anthony Peluso,0.7333333333333333
Anthony Richard,Anthony Richard,1.0
Anthony Stolarz,Anthony Stolarz,1.0
Antoine Roussel,Antoine Roussel,1.0
Anton Lindholm,Anton Blidh,0.72
Anton Khudobin,Anton Khudobin,1.0
Anton Lindholm,Anton Lindholm,1.0
Anton Stralman,Anton Stralman,1.0
Antti Niemi,Antti Niemi,1.0
Antti Raanta,Antti Raanta,1.0
Antti Suomela,Antti Suomela,1.0
Anze Kopitar,Anze Kopitar C,0.9230769230769231
Artem Anisimov,Artem Anisimov,1.0
Artemi Panarin,Artemi Panarin,1.0
Artturi Lehkonen,Artturi Lehkonen,1.0
Ashton Sautner,Ashton Sautner,1.0
Austin Czarnik,Austin Czarnik,1.0
Austin Wagner,Austin Wagner,1.0
Austin Watson,Austin Watson,1.0
Auston Matthews,Auston Matthews,1.0
Barclay Goodrow,Barclay Goodrow,1.0
Barrett Hayton,Barrett Hayton,1.0
Ben Bishop,Ben Bishop,1.0
Ben Chiarot,Ben Chiarot,1.0
Blake Coleman,Ben Gleason,0.5833333333333334
Ben Harpur,Ben Harpur,1.0
Ben Hutton,Ben Hutton,1.0
Ben Lovejoy,Ben Lovejoy,1.0
Ben Street,Ben Street,1.0
Blake Coleman,Blake Coleman,1.0
Blake Comeau,Blake Comeau,1.0
Blake Lizotte,Blake Lizotte,1.0
Blake Pietila,Blake Pietila,1.0
