"","Points","GameDate","Tm","Opp","HW","WL","Wins","Loss","WinD","LossD","Actual"
"16590",74.4545454545455,"2020-02-19","abilenechristian","houstonbaptist","0","L",7,4,14,-5,82
"16529",71.1818181818182,"2020-02-19","airforce","fresnostate","0","W",3,8,9,-14,62
"16530",76.6363636363636,"2020-02-18","akron","westernmichigan","0","W",8,3,15,-3,71
"16840",81.6363636363636,"2020-02-19","alabama","texasam","2","L",6,5,10,-4,68
"16701",66.5454545454545,"2020-02-20","appalachianstate","southalabama","2","L",6,5,6,-11,70
"16705",74.2727272727273,"2020-02-20","arizonastate","oregon","2","W",8,3,5,-7,77
"16704",71.4545454545455,"2020-02-20","arizona","oregonstate","2","L",7,4,16,-7,89
"16834",74.2727272727273,"2020-02-18","arkansas","florida","0","W",4,7,7.5,-4,59
"16706",73.3636363636364,"2020-02-19","arkansasstate","louisianamonroe","2","L",4,7,6.5,-6,52
"16843",73.2727272727273,"2020-02-19","army","loyolamd","0","L",8,3,10.5,-14,77
"16847",77.1818181818182,"2020-02-19","auburn","georgia","0","W",8,3,4,-19,55
"16851",79.7272727272727,"2020-02-20","austinpeay","siuedwardsville","0","W",9,2,8,-5,78
"16532",67.2727272727273,"2020-02-18","ballstate","buffalo","0","W",6,5,10,-6,59
"16842",68.2727272727273,"2020-02-18","baylor","oklahoma","0","W",11,0,11,0,65
"16855",80.8181818181818,"2020-02-20","belmont","moreheadstate","0","W",9,2,14,-9,80
"16596",64.7272727272727,"2020-02-20","binghamton","umasslowell","2","W",2,9,4,-16,86
"16931",66.5454545454545,"2020-02-19","incarnateword","mcneesestate","2","W",5,6,2,-15,65
"16739",67.5454545454545,"2020-02-20","jacksonville","lipscomb","2","W",5,6,11,-8,67
"16942",70.9090909090909,"2020-02-20","jacksonvillestate","southeastmissouristate","2","L",3,8,14,-4,65
"16268",69.9090909090909,"2020-02-20","jamesmadison","elon","2","L",1,10,17,-10,62
"16948",63.1818181818182,"2020-02-19","kansasstate","texastech","0","L",2,9,12,-10,62
"16289",54.9090909090909,"2020-02-20","kennesawstate","northalabama","0","L",0,11,0,-18,46
"16952",75.5454545454545,"2020-02-18","kentucky","lsu","0","W",9,2,9,-6,79
"16467",66.0909090909091,"2020-02-19","lasalle","fordham","2","W",2,9,11.5,-11,58
"16638",72.8181818181818,"2020-02-19","lamar","samhoustonstate","0","L",5,6,10,-7,77
"16282",64.8181818181818,"2020-02-20","liberty","northflorida","2","W",9,2,15,-3,82
"16713",70.9090909090909,"2020-02-20","lipscomb","jacksonville","0","W",6,5,11,-7,68
"17399",67.7272727272727,"2020-02-20","longwood","uscupstate","0","L",5,6,8,-6,68
"16959",80.8181818181818,"2020-02-18","lsu","kentucky","2","W",8,3,4,-6,76
"16721",60.0909090909091,"2020-02-19","louisianamonroe","arkansasstate","0","L",1,10,3,-12.5,66
"16965",74.1818181818182,"2020-02-19","louisville","syracuse","2","W",9,2,7,-10.5,90
"16294",60.1818181818182,"2020-02-20","loyolamarymount","saintmarys","0","L",2,9,9,-12,51
"16313",77.1818181818182,"2020-02-18","marquette","creighton","2","W",7,4,11,-2.5,65
"16375",64.6363636363636,"2020-02-20","umbc","albanyny","0","L",5,6,10,-8,69
"16690",65.9090909090909,"2020-02-18","umass","saintlouis","2","W",4,7,8.5,-13,67
"16635",79.7272727272727,"2020-02-19","mcneesestate","incarnateword","0","W",7,4,13,-5.5,59
"16759",66.6363636363636,"2020-02-19","memphis","eastcarolina","2","L",5,6,7,-5,77
"16963",70.6363636363636,"2020-02-19","mercer","samford","2","L",7,4,6,-12.5,106
"16767",73.6363636363636,"2020-02-19","michigan","rutgers","0","W",6,5,10,-7,60
"17011",69.3636363636364,"2020-02-18","olemiss","missouri","0","L",4,7,15.5,-5,68
"16970",73.9090909090909,"2020-02-19","mississippistate","southcarolina","2","L",7,4,10,-4.5,79
"16981",71.5454545454545,"2020-02-19","missouristate","bradley","0","L",5,6,13,-11.5,79
"16974",68,"2020-02-18","missouri","olemiss","2","W",4,7,8,-17,71
"16304",66.3636363636364,"2020-02-20","montanastate","portlandstate","0","L",6,5,7.5,-13,77
"16971",64.7272727272727,"2020-02-20","moreheadstate","belmont","2","W",4,7,8.5,-16,67
"16980",78.0909090909091,"2020-02-20","murraystate","easternillinois","0","W",9,2,12,-5,60
"16985",66.0909090909091,"2020-02-19","navy","american","0","L",5,6,2,-7,62
"16639",78.2727272727273,"2020-02-18","nevada","newmexico","0","L",6,5,16,-9,88
"16680",76,"2020-02-18","unlv","coloradostate","2","L",5,6,9,-10.5,80
"16320",61.8181818181818,"2020-02-20","newhampshire","hartford","2","L",4,7,7,-9,67
"16653",75,"2020-02-19","nichollsstate","northwesternstate","0","W",8,3,7.5,-6,73
"16741",64.1818181818182,"2020-02-20","njit","stetson","2","L",4,7,15,-11,78
"16652",66.7272727272727,"2020-02-19","ncstate","duke","2","W",6,5,5.5,-10,88
"17445",72.6363636363636,"2020-02-20","uncasheville","radford","0","L",5,6,5,-12,64
"16676",75.7272727272727,"2020-02-19","uncgreensboro","wofford","2","L",9,2,14,-12,83
"16479",70.7272727272727,"2020-02-19","northdakota","southdakotastate","2","W",5,6,6,-15.5,83
"16483",79.0909090909091,"2020-02-19","northdakotastate","southdakota","0","W",9,2,10.5,-5.5,77
"16746",77.2727272727273,"2020-02-20","northflorida","liberty","0","W",9,2,13,-12,77
"16307",71.0909090909091,"2020-02-20","northeastern","delaware","0","L",4,7,11,-2,48
"16994",72.3636363636364,"2020-02-20","northernarizona","idaho","0","L",7,4,5,-8.5,78
"16742",72.3636363636364,"2020-02-20","northerncolorado","southernutah","2","W",8,3,17,-6,68
"16828",73.6363636363636,"2020-02-20","northernkentucky","clevelandstate","0","W",9,2,16,-31,73
"16571",70.5454545454545,"2020-02-18","ohio","centralmichigan","2","W",4,7,9,-9,77
"17017",68,"2020-02-18","oklahoma","baylor","2","L",5,6,13,-10.5,54
"17021",65.9090909090909,"2020-02-18","oklahomastate","westvirginia","0","L",4,7,8,-12,47
"16319",76.7272727272727,"2020-02-20","omaha","purduefortwayne","0","W",5,6,5,-9,61
"16779",71.8181818181818,"2020-02-20","oregon","arizonastate","0","W",8,3,8.5,-10,72
"16754",65.2727272727273,"2020-02-20","oregonstate","arizona","0","L",4,7,13.5,-8,63
"17010",78.6363636363636,"2020-02-20","pepperdine","portland","0","W",7,4,7,-10.5,66
"17139",64.5454545454545,"2020-02-18","pitt","floridastate","0","L",4,7,7,-8,67
"17438",71.5454545454545,"2020-02-20","presbyterian","highpoint","0","W",3,8,6,-9,70
"16581",67.1818181818182,"2020-02-19","providence","georgetown","0","W",5,6,4,-7.5,73
"16798",69.1818181818182,"2020-02-18","purdue","wisconsin","0","L",5,6,27,-9.5,65
"17428",73.0909090909091,"2020-02-20","radford","uncasheville","2","W",9,2,10,-9,79
"16492",72.9090909090909,"2020-02-19","richmond","georgemason","2","W",8,3,14,-16,65
"17041",60.2727272727273,"2020-02-20","sacramentostate","easternwashington","0","W",4,7,12.5,-14,76
"16674",79.6363636363636,"2020-02-19","samhoustonstate","lamar","2","W",7,4,9,-5.5,65
