"","Team","PlayerPosition","GameDate","Goals","Assists","Points","PlusMinus","Penalties","EGoals","PPGoals","SHGoals","GWGoals","EVAssits","PPAssits","SHAssits","ShotsOnGoal","ShootingPer","Shits","MP","Hits","Blocks","FaceOffWins","FaceOffLoss","FaceOffPer","GoalsOpp","AssistsOpp","EVAssitsOpp","ShotsOnGoalOpp","HitsOpp","BlocksOpp"
"1","CBJ","D","2019-11-05",0.1,0.2,0.3,0.9,0.32,0.08,0.02,0,0,0.16,0.04,0,1.66,3.466,24.74,1182.42,0.86,1.22,0,0,0,0.08,0.24,0.18,1.5,0.84,0.98
"2","CBJ","F","2019-11-05",0.16,0.26,0.42,0.86,0.52,0.14,0.02,0,0.02,0.18,0.08,0,2.08,5.066,19.84,935.06,1,0.56,2.04,2.36,24.804,0.14,0.22,0.18,1.92,0.8,0.46
"3","CBJ","D","2019-11-02",0.06,0.28,0.34,0.86,0.32,0.04,0.02,0,0,0.24,0.04,0,1.68,2.066,24.96,1202.52,0.84,1.12,0,0,0,0.08,0.26,0.22,1.78,1.4,0.94
"4","CBJ","F","2019-11-02",0.2,0.36,0.56,0.82,0.48,0.18,0.02,0,0.02,0.26,0.08,0.02,1.86,7.466,20.06,941.68,0.96,0.62,2.16,2.16,27.632,0.38,0.3,0.22,1.92,0.92,0.46
"5","CBJ","D","2019-11-01",0.08,0.26,0.34,0.98,0.36,0.06,0.02,0,0,0.22,0.04,0,1.76,2.566,24.66,1195.86,1,1.16,0,0,0,0.08,0.46,0.34,1.54,1.02,1.26
"6","CBJ","F","2019-11-01",0.22,0.26,0.48,0.84,0.44,0.18,0.02,0.02,0.04,0.2,0.04,0.02,1.86,9.134,20.18,952.2,0.98,0.58,2.2,2.4,28.568,0.28,0.38,0.3,1.96,0.96,0.26
"7","CBJ","D","2019-10-30",0.1,0.26,0.36,0.94,0.32,0.1,0,0,0,0.22,0.04,0,1.84,2.966,24.38,1183.3,0.98,1.06,0,0,0,0.12,0.2,0.14,1.58,1.32,0.96
"8","CBJ","F","2019-10-30",0.24,0.26,0.5,0.8,0.32,0.2,0.02,0.02,0.04,0.24,0,0.02,2.08,9.634,20.28,963.76,0.94,0.52,2.2,2.36,26.048,0.2,0.26,0.18,2.14,0.94,0.48
"9","CBJ","D","2019-10-26",0.06,0.28,0.34,1.02,0.32,0.06,0,0,0,0.22,0.06,0,1.84,1.566,25.04,1220.88,1.02,1.12,0,0,0,0.04,0.32,0.28,1.22,0.96,1.38
"10","CBJ","F","2019-10-26",0.18,0.2,0.38,0.64,0.24,0.14,0.02,0.02,0.04,0.18,0,0.02,2.14,8.634,19.82,949.44,0.76,0.44,2.14,2.04,27.548,0.2,0.2,0.2,1.84,0.94,0.52
"11","CBJ","D","2019-10-24",0.06,0.24,0.3,1,0.36,0.06,0,0,0,0.18,0.06,0,1.78,1.566,24.94,1209.02,1.06,1.3,0,0,0,0.1,0.36,0.26,1.36,1.04,1.08
"12","CBJ","F","2019-10-24",0.2,0.16,0.36,0.7,0.16,0.16,0.02,0.02,0.06,0.14,0,0.02,2.22,9.966,19.96,960.54,0.86,0.44,2.1,2.36,24.968,0.24,0.28,0.22,1.64,0.9,0.36
"13","CBJ","D","2019-10-21",0.12,0.2,0.32,1.02,0.32,0.12,0,0,0,0.18,0.02,0,1.82,3.966,25.02,1213.58,1.08,1.1,0,0,0,0.04,0.18,0.06,1.68,0.78,1.44
"14","CBJ","F","2019-10-21",0.14,0.16,0.3,0.76,0.24,0.14,0,0,0.04,0.16,0,0,2.08,7.832,20.08,958.5,0.88,0.44,2.32,2.24,20.83,0.22,0.24,0.16,1.78,0.6,0.46
"15","CBJ","D","2019-10-19",0.1,0.2,0.3,1.04,0.36,0.1,0,0,0,0.18,0.02,0,1.72,3.566,24.38,1182.86,1.1,1.1,0,0,0,0.12,0.12,0.1,1.68,1.12,1.2
"16","CBJ","F","2019-10-19",0.18,0.2,0.38,0.72,0.32,0.14,0.04,0,0.04,0.16,0.04,0,2.22,8.398,20.18,958.56,0.82,0.44,2.1,2.32,29.35,0.12,0.08,0.06,1.76,1,0.54
"17","CBJ","D","2019-10-18",0.12,0.28,0.4,1.2,0.24,0.12,0,0,0,0.26,0.02,0,1.82,4.832,25.88,1252.48,1.16,1.36,0,0,0,0.04,0.26,0.18,1.36,1.44,1.52
"18","CBJ","F","2019-10-18",0.18,0.22,0.4,0.86,0.42,0.14,0.04,0,0.06,0.14,0.08,0,2.08,8.564,19.78,942.46,1,0.4,2.04,2.34,27.384,0.14,0.22,0.22,1.56,0.98,0.44
"19","CBJ","D","2019-10-16",0.12,0.28,0.4,1.2,0.24,0.12,0,0,0,0.26,0.02,0,1.74,6.166,26.14,1270.12,1.18,1.46,0,0,0,0.04,0.26,0.18,1.36,1.44,1.52
"20","CBJ","F","2019-10-16",0.18,0.22,0.4,0.86,0.42,0.12,0.06,0,0.04,0.14,0.08,0,2.08,5.85,19.66,934.66,1.1,0.46,2.12,2.5,27.384,0.14,0.22,0.22,1.56,0.98,0.44
"21","CBJ","D","2019-10-12",0.1,0.32,0.42,1.18,0.2,0.1,0,0,0,0.3,0.02,0,1.82,5.166,26.6,1303,1.32,1.7,0,0,0,0.2,0.18,0.16,1.88,0.92,1.5
"22","CBJ","F","2019-10-12",0.2,0.24,0.44,0.92,0.38,0.14,0.06,0,0.04,0.16,0.08,0,2.04,6.518,19.32,933,1.12,0.4,2.18,2.22,32.66,0.14,0.26,0.2,1.6,0.74,0.5
"23","CBJ","D","2019-10-11",0.12,0.34,0.46,1.26,0.28,0.12,0,0,0,0.3,0.02,0.02,1.8,7.166,27.2,1312.66,1.44,1.7,0,0,0,0.1,0.22,0.08,1.96,1.3,1.02
"24","CBJ","F","2019-10-11",0.32,0.32,0.64,1.02,0.34,0.24,0.08,0,0.08,0.22,0.1,0,2.38,8.918,19.46,916.72,1.24,0.34,2.14,2.32,27.848,0.24,0.38,0.34,1.94,1.2,0.32
"25","CBJ","D","2019-10-07",0.12,0.32,0.44,1.26,0.28,0.12,0,0,0,0.28,0.02,0.02,1.82,7.166,27.36,1335.28,1.62,1.64,0,0,0,0.12,0.26,0.16,1.82,1.46,1.3
"26","CBJ","F","2019-10-07",0.34,0.26,0.6,1.08,0.42,0.3,0.04,0,0.06,0.24,0.02,0,2.4,9.42,19.38,905.48,1.46,0.3,1.82,2.02,27.59,0.22,0.36,0.28,2.08,1.04,0.38
"27","CBJ","D","2019-10-05",0.1,0.3,0.4,1.22,0.32,0.1,0,0,0,0.26,0.02,0.02,1.78,6.666,26.54,1279.62,1.42,1.66,0,0,0,0.16,0.34,0.24,1.54,1.32,1.48
"28","CBJ","F","2019-10-05",0.4,0.26,0.66,1.2,0.32,0.36,0.04,0,0.08,0.22,0.04,0,2.48,11.42,19.7,916.42,1.4,0.26,1.5,1.84,25.622,0.2,0.4,0.32,1.8,0.84,0.62
"29","CBJ","D","2019-10-04",0.1,0.3,0.4,1.18,0.16,0.1,0,0,0,0.26,0.02,0.02,1.48,6.666,26.32,1252.24,1.58,1.72,0,0,0,0.1,0.32,0.28,1.54,1.1,1.04
"30","CBJ","F","2019-10-04",0.4,0.28,0.68,1.24,0.24,0.36,0.04,0,0.08,0.22,0.06,0,2.52,13.134,20.34,941.64,1.46,0.34,1.32,1.72,35.338,0.22,0.3,0.24,1.68,1.46,0.42
"31","CBJ","D","2019-04-06",0.08,0.28,0.36,1.3,0.12,0.08,0,0,0,0.22,0.06,0,1.6,4.666,25.86,1224.02,1.06,1.54,0,0,0,0.06,0.26,0.2,1.38,1.56,1.48
"32","CBJ","C","2019-04-06",0.22,0.34,0.56,1.06,0.04,0.14,0.08,0,0.04,0.32,0.02,0,1.62,14,19.34,880.54,1.04,0.34,4.72,3.8,32.462,0.16,0.24,0.2,2.08,0.84,0.34
"33","CBJ","F","2019-04-06",0.4,0.34,0.74,1.18,0.28,0.36,0.04,0,0.08,0.26,0.08,0,2.46,14.086,20.66,973.78,1.26,0.26,1.1,1.48,9.984,0.28,0.2,0.12,2.02,1.3,0.46
"34","CBJ","D","2019-04-05",0.08,0.3,0.38,1.34,0.12,0.08,0,0,0,0.22,0.06,0.02,1.56,4.666,26.44,1246.54,1.2,1.66,0,0,0,0,0.26,0.2,1.52,1.1,1.56
