"","X.3","X.2","GameDate","PlayerName","FreeThrows.x","R3.x","L3.x","C3.x","IP.x","RC3.x","LC3.x","B3.x","L2.x","R2.x","C2.x","Made.Shot.x","Missed.Shot.x","FreeThrows.y","R3.y","L3.y","C3.y","IP.y","RC3.y","LC3.y","B3.y","L2.y","R2.y","C2.y","Made.Shot.y","Missed.Shot.y"
"1",1,1,"2019-11-13","Nassir Little",2,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1
"2",2,2,"2019-11-11","Javonte Green",1,0,0,0,6.5,0,0,0,0,0,0,1,0,1,1.5,0,0,2.5,0,1,0,0,0,0,0,1
"3",3,3,"2019-11-09","Javonte Green",2,0,0,0,10,0,0,0,0,0,0,1,0,2,2,0,0,4,0,2,0,0,0,0,0,1
"4",4,4,"2019-11-10","Ignas Brazdeikis",2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1
"5",5,5,"2019-11-02","Justin Robinson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,6,"2019-11-06","Goga Bitadze",1,0,0,0.666666666666667,4,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,1,0,1,0,0,2.66666666666667,2,0,0,0,0,2,0.666666666666667,0,1
"7",7,7,"2019-11-05","Goga Bitadze",1.5,0,0,1,3,0,1,0,1,1,0,1,0,1.5,0,0,2,2,0,0,0,0,3,0,0,1
"8",8,8,"2019-11-03","Goga Bitadze",3,0,0,0,2,0,2,0,0,2,0,1,0,3,0,0,4,4,0,0,0,0,0,0,0,1
"9",9,9,"2019-11-12","Michael Porter Jr.",1.33333333333333,0.333333333333333,0,0.666666666666667,2,0,0,0,1.33333333333333,0,0,1,0,1.33333333333333,0,0.666666666666667,0.333333333333333,1.33333333333333,0,0.666666666666667,0,0,0.333333333333333,0,0,1
"10",10,10,"2019-11-10","Michael Porter Jr.",2,0,0,1,2.5,0,0,0,2,0,0,1,0,2,0,1,0.5,1,0,1,0,0,0,0,0,1
"11",11,11,"2019-11-08","Michael Porter Jr.",4,0,0,2,4,0,0,0,4,0,0,1,0,4,0,2,0,2,0,2,0,0,0,0,0,1
"12",12,12,"2019-11-14","Terance Mann",0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"13",13,13,"2019-11-08","Jaxson Hayes",0.5,0,0,0,11,0,0,0,0,0,0,1,0,0.5,0,0,0,4,0,0,1,0,0,0,0,1
"14",14,14,"2019-11-02","Jaxson Hayes",1,0,0,0,18,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,1
"15",15,15,"2019-11-13","Matt Thomas",0.5,0.5,0,0.5,0,0,1,0,0,0.25,0.5,1,0,0.5,0,0.5,0.75,0,0,0.25,0,0,0,0,0,1
"16",16,16,"2019-11-10","Matt Thomas",0.5,0.25,0,1,0,0.5,1,0,0,0,0.5,1,0,0.5,0.5,0.5,0.75,0,0,0,0,0,0,0,0,1
"17",17,17,"2019-11-08","Matt Thomas",0.666666666666667,0,0,1.33333333333333,0,0.666666666666667,1.33333333333333,0,0,0,0.666666666666667,1,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,1
