"","GameDate","HomeTeam","R3.x","L3.x","C3.x","IP.x","RC3.x","LC3.x","B3.x","L2.x","R2.x","C2.x","Made.Shot.x","Missed.Shot.x","R3.y","L3.y","C3.y","IP.y","RC3.y","LC3.y","B3.y","L2.y","R2.y","C2.y","Made.Shot.y","Missed.Shot.y"
"1","2019-11-08","ATL",8,9.6,10.4,95.6,5,3.6,0,4.8,7.6,6.4,1,0,23.2,22,30.6,73.2,8.8,5.6,1.6,12,9.2,6.4,0,1
"2","2019-11-06","ATL",9,8.5,11,96,5.25,2.5,0,5,9,7,1,0,25.5,22.5,29.25,75,8.5,5.5,1.5,13,10.5,7,0,1
"3","2019-11-05","ATL",9.33333333333333,7.33333333333333,10,100,5.66666666666667,3.33333333333333,0,4,5.33333333333333,5.33333333333333,1,0,26.6666666666667,24,27.6666666666667,78,10,4.66666666666667,1.33333333333333,6.66666666666667,11.3333333333333,7.33333333333333,0,1
"4","2019-10-31","ATL",7,8,11,100.5,4,2,0,5,8,5,1,0,26,25,27.5,80.5,8,5,0,7,13,10,0,1
"5","2019-10-28","ATL",6,12,6,113,2,2,0,6,8,4,1,0,28,24,33,89,4,4,0,8,14,8,0,1
"6","2019-04-10","ATL",7.6,6,6.8,63,5,2.4,0,3.4,3.4,1.6,1,0,16.6,13,13.6,47.6,7.8,6.4,0.2,4,7.8,4.6,0,1
"7","2019-04-03","ATL",7.6,6,7.2,56.4,5.6,3.4,0,3.4,3.4,1.2,1,0,17.8,11.4,14.6,43,7.8,6.2,0.2,3.6,7.2,3.6,0,1
"8","2019-03-31","ATL",6.8,6.2,7.2,56.2,5.6,4.8,0,4.2,2.8,1.8,1,0,16,10,13.6,43.2,8,7,0.8,3.8,7,3.8,0,1
"9","2019-03-29","ATL",7,7,8.2,53.8,6,6,0,3.6,2.8,1.8,1,0,14.2,10.8,12.8,45.6,7.4,7,1,2.6,6.2,4,0,1
"10","2019-03-23","ATL",6,7.6,9,49.2,4.6,5.4,0,3.6,2.2,1.6,1,0,14,12.6,13.8,43.6,6.2,8,1.2,2.6,5.4,2.4,0,1
"11","2019-03-21","ATL",5.8,7.8,8.2,48.2,4.2,5.6,0,3.4,2.8,2.4,1,0,13.4,13.6,14,41.6,6.2,8.2,1.6,3.6,5,2.6,0,1
"12","2019-03-19","ATL",5.6,10,9.6,54.2,3.8,5.8,0,3.4,3.2,2,1,0,12.4,17,15.2,45.8,6,8.8,1.8,4.4,6.4,4,0,1
"13","2019-03-13","ATL",5.6,8.4,9.8,54.8,3,4.2,0,2.2,3.2,2,1,0,11.6,15.2,16.8,48,4.6,7.8,1.2,4.4,7.2,4.4,0,1
"14","2019-03-10","ATL",7.2,6.8,9,55.2,4.2,3.2,0,3,2.6,2,1,0,12,15.4,16.2,49,5.6,8.8,1.2,5.6,6.8,4.4,0,1
"15","2019-03-09","ATL",8.2,7.4,9.6,55,5.6,3.2,0,3.8,2.6,2.4,1,0,11.6,14.6,15.8,46,6.2,8.4,1.2,6,6.6,5.4,0,1
"16","2019-03-06","ATL",7.2,8.2,9.8,55.6,5.6,3.8,0,3.6,2.2,3.2,1,0,10.6,15.4,16.6,49.4,5.4,8.6,0.8,4.6,7,5.6,0,1
"17","2019-03-01","ATL",7.4,7.2,8,50.2,5.2,3.4,0,3.4,2.4,3.4,1,0,11.2,12.4,15.2,47.6,6,7.4,0.8,4.6,6.8,4.6,0,1
"18","2019-02-27","ATL",7.4,7.2,7.4,46.8,5.8,4.2,0,3.4,3.2,3.4,1,0,11,13.6,12.2,43.4,6.8,7.4,0.8,5.2,4.8,4.2,0,1
"19","2019-02-23","ATL",6.6,8.2,7.8,46.2,5.4,4.4,0,3,4.4,4,1,0,12,11.8,12.8,38.4,5.6,7.2,0.6,4,4.6,4.4,0,1
"20","2019-02-22","ATL",6,8,6.6,44.4,4.2,5.2,0,3.2,4.8,4.2,1,0,11.6,12,12.6,39.6,5.4,6.2,0.2,4,4.6,3.4,0,1
"21","2019-02-14","ATL",6,8.2,5.8,45.6,4.6,4.6,0,3.8,5.6,4,1,0,11.4,11,11.6,38.4,5.8,6.4,0.2,4.4,4.8,3.2,0,1
"22","2019-02-12","ATL",4.4,8.2,6.6,45.6,4,4,0,4.4,6,3.8,1,0,9.4,11.4,12,38.2,5.8,7.2,0,4.4,4.2,3.6,0,1
"23","2019-02-10","ATL",4.2,9.4,6.6,49.6,3.4,3.4,0,5.4,5,3.4,1,0,11,10.4,11.6,36,5.8,6.8,0,3.8,5.8,3.2,0,1
"24","2019-02-09","ATL",3,9.6,6,51.2,3,3.2,0,5.2,4.4,3.8,1,0,10,12.8,12.6,40,6.2,6,0,4.2,5.8,2.6,0,1
"25","2019-02-07","ATL",2.5,10.25,5.75,54.75,2.75,2.5,0,5,4.75,4,1,0,10.5,12.25,12.25,40,6,6.75,0,4,6.75,2.5,0,1
"26","2019-01-21","ATL",2.8,8.2,6.8,59.4,2.4,1.4,0,4.6,3.4,1.8,1,0,12,10.8,12.4,42.2,7.8,6.2,0,5,7.6,2.6,0,1
"27","2019-01-19","ATL",3.6,7.2,7,60.2,2.6,2.8,0,4.8,3.2,2,1,0,11.6,10,11,41.4,7.2,5.4,0,5,8,2,0,1
"28","2019-01-15","ATL",3.4,6,6.6,58,3.8,3.8,0,4.2,3.6,1.8,1,0,11.2,11.4,12,44.2,8.6,5.4,0,5,7,2.2,0,1
"29","2019-01-13","ATL",3.5,5.25,7,58,3.75,4.25,0,4.5,3.25,1,1,0,11.5,10,10.75,42.5,9.75,5.25,0,5.25,7.75,2.75,0,1
"30","2019-01-06","ATL",4.75,5.25,6.75,54.5,4,5.25,0,5.25,3.25,1,1,0,11.5,12,11.25,41,9.75,5.25,0,6.25,6.25,3.5,0,1
"31","2018-12-29","ATL",6.4,6.6,5.6,56.6,3.4,4.8,0,4.4,4.4,1.6,1,0,11.2,13.6,11.8,40.4,8.2,5.6,0.4,5,6.6,3.4,0,1
"32","2018-12-26","ATL",6.5,6.75,5,57.75,3.5,4,0,4.25,4.5,1.5,1,0,12.5,15,12.5,41.75,8.75,6.25,0.5,5.25,6.25,3.75,0,1
"33","2018-12-18","ATL",7.4,5.4,7.8,54.4,2.8,2.8,0,3.4,5.8,2.4,1,0,11,14.4,15.4,38.4,6.4,6.4,0.6,4.6,6.2,2.8,0,1
"34","2018-12-08","ATL",7.2,5.6,7.6,60.2,3.2,2.8,0,3.2,6.6,3,1,0,11.2,14.4,14.4,41,5.4,6,0.6,3.6,5.6,2,0,1
"35","2018-12-05","ATL",6.4,5.6,7.8,57.8,3.8,3.2,0,4,7,3,1,0,9.8,13.8,14,41.2,5,6.2,0.6,4.8,5.4,2.4,0,1
"36","2018-12-03","ATL",7.8,5.2,8.6,55.6,4.4,4.4,0,3.8,6.2,3.4,1,0,11.2,13.6,16.8,43,4.4,8.2,0.8,4.2,4.4,2.6,0,1
"37","2018-11-25","ATL",7.4,6.8,5.8,56,3.4,4.8,0,4.8,5.6,2.6,1,0,13.4,13,14.8,45.4,5.2,8.4,0.6,4.4,4.4,3,0,1
"38","2018-11-23","ATL",7.8,8.6,5.2,56.6,3.8,5,0,5.6,4.8,3.4,1,0,13.8,12.2,14.2,47.6,5.2,8,0.6,4.4,3.8,3,0,1
"39","2018-11-21","ATL",7.2,9.2,5.4,57.8,3.4,5.2,0,5.8,4,2.8,1,0,14.2,12.2,15.4,43.8,5.6,8.8,0.6,5,4,3.2,0,1
"40","2018-11-19","ATL",7,8.8,5,52.4,3.2,6,0,5.2,3.6,2.6,1,0,14.4,12.6,14.4,42.6,5.8,9.4,0.2,4.6,4.8,3.2,0,1
"41","2018-11-09","ATL",6,10.6,5.6,52,2.8,5.6,0,5.2,4.2,2.4,1,0,13.8,15,14,46.8,7,8.8,0.6,4,4.6,3.2,0,1
"42","2018-11-07","ATL",6.25,10.25,6.25,53.25,3.5,5.75,0,4.75,4,2.75,1,0,12,17.5,14.5,46.75,6,9.5,0.75,4,4.25,3,0,1
"43","2018-11-03","ATL",5.33333333333333,10.3333333333333,6.66666666666667,54.6666666666667,3.33333333333333,6.33333333333333,0,4.33333333333333,4.33333333333333,1.66666666666667,1,0,12,18.3333333333333,15.3333333333333,48.3333333333333,6.66666666666667,11,1,4.66666666666667,5,3.66666666666667,0,1
"44","2018-11-01","ATL",6,10.5,8,41,3.5,7,0,4.5,5.5,2.5,1,0,12,21,15.5,54,6.5,10.5,1.5,4,5.5,4.5,0,1
"45","2018-10-27","ATL",6,11,12,49,4,6,0,4,7,4,1,0,11,21,20,59,8,9,3,2,4,5,0,1
"46","2019-11-10","OKC",10.6,12.4,6.2,79.2,4.6,3,0,6.2,6.8,5.2,1,0,20.8,23.2,10.4,76.6,8.8,7.2,1.2,6.4,8.8,9.2,0,1
"47","2019-11-09","OKC",12.2,14,6.2,87.2,4,2.8,0,6.8,6.2,6.8,1,0,26.2,27,10.8,90.2,11,8.2,1,5.6,8.8,11.2,0,1
"48","2019-11-05","OKC",12.25,15.5,6.75,86.75,4.5,3,0,6.5,5.5,7,1,0,26.5,28.5,10,89.75,10.5,9.25,0.5,5.5,9,11.25,0,1
"49","2019-11-02","OKC",12.6666666666667,14.6666666666667,3.33333333333333,83,4.66666666666667,2.66666666666667,0,8,5.33333333333333,8,1,0,27.3333333333333,30,10.6666666666667,86,9.33333333333333,6.66666666666667,0.666666666666667,5.33333333333333,9.33333333333333,12,0,1
"50","2019-10-30","OKC",11,13,4,87.5,5,3,0,7,6,10,1,0,27,26,14,85,11,8,0,5,5,12,0,1
"51","2019-10-27","OKC",12,14,2,91,2,2,0,8,4,12,1,0,32,26,10,100,14,8,0,0,6,14,0,1
"52","2019-04-09","OKC",8,9.8,4.2,50.8,3.8,4.4,0,4,6,1.6,1,0,13.6,15.2,12.4,41.4,7.8,7.4,0.4,5.6,6.6,3.2,0,1
"53","2019-04-05","OKC",7.8,9.4,5.6,51.4,3.8,3.4,0,4.2,5.8,1.6,1,0,13,13.8,13.6,40.2,7.4,9.4,0.4,5,5.8,3.6,0,1
"54","2019-04-02","OKC",6.2,8.4,5.4,53.2,3.6,3.4,0,4,4.6,2,1,0,11.8,13.2,11.6,43.2,6.6,12,0.2,4.2,5,3.8,0,1
"55","2019-03-31","OKC",5.6,6.8,5.2,51.2,5,3.8,0,3.4,4.4,1.8,1,0,12.6,11.8,8.8,43.4,5.8,12.2,0,4.6,5.2,4.2,0,1
"56","2019-03-29","OKC",5.6,5.6,6.8,48.4,5.4,3.2,0,3.6,4,1.4,1,0,12.4,10.8,8.2,46,6.8,12,0.4,6,5.6,4,0,1
"57","2019-03-27","OKC",5.6,6.2,6.8,50.4,4.8,1.8,0,4.6,3.8,2.4,1,0,13,11,9.8,51.2,5.6,9.2,0.4,5.8,6.4,3.4,0,1
"58","2019-03-20","OKC",5.6,5.6,6.8,53.2,4.4,2.6,0,5.6,3.4,2.4,1,0,13.8,11.2,9,53,6,7,0.4,7,8.4,4.4,0,1
"59","2019-03-18","OKC",6.6,6.4,6.2,52.2,4.2,2.2,0,5.4,4.4,3,1,0,14.2,11.4,9.2,57.6,6.2,5.8,0.4,8,9.6,4,0,1
"60","2019-03-16","OKC",8,6,6.8,57.8,3.4,3,0,5.4,4.2,3.2,1,0,12.8,11.6,11.2,59.8,6.2,5.2,0.4,7.6,9.6,3.4,0,1
"61","2019-03-13","OKC",7.5,7.25,6.25,61.5,3.25,3.75,0,6,4,3.75,1,0,13,12.25,12.5,63.25,6,6,0,7.5,10.25,3,0,1
"62","2019-03-03","OKC",8,6.8,6.2,56.4,3.8,3.6,0,4,3.2,2.4,1,0,10.8,13.4,10.8,48.8,5.4,6.2,0,9.2,8.8,3.8,0,1
"63","2019-02-28","OKC",8.4,6.4,5.4,51.8,3.6,3.6,0,3.8,3.6,3,1,0,11.6,12.6,10.2,46.8,4.2,6.8,0,7.6,7,2.8,0,1
"64","2019-02-23","OKC",8.4,5.6,6.6,50.4,4.4,4.2,0,3.2,2.8,2.6,1,0,12,12.6,9.6,42.6,4,5.4,0,7.6,5.8,3.2,0,1
"65","2019-02-22","OKC",7.8,5.8,5.8,51.2,3.4,3.6,0,3.2,2.8,2.6,1,0,11.6,12.2,8,38.4,4,6.4,0,8.6,7,3.2,0,1
"66","2019-02-11","OKC",7.2,5.6,5.4,51,2.8,4,0,4.2,4.6,2.4,1,0,12.4,11.6,8.2,40.2,3.8,6.4,0,6.6,6.4,3.2,0,1
"67","2019-02-07","OKC",7.8,7,5.2,53,3.8,4.8,0,4.2,5,2.2,1,0,13.2,12.6,8.4,44.4,3.6,6.2,0.2,6,6.6,2.2,0,1
"68","2019-02-05","OKC",7,7.6,5,54,3.6,4.8,0,3.8,5.4,1.8,1,0,12,13,8.2,45.2,3.4,5.8,0.2,7.4,8,2.4,0,1
"69","2019-01-27","OKC",7.2,7.8,4,54.8,3.8,4,0,4.4,5.8,1.6,1,0,11.6,12,8.6,42.8,3.6,6.8,0.4,8.8,8.2,2.2,0,1
"70","2019-01-24","OKC",7.2,6.8,3.6,53,4.6,4.6,0,4.6,6,1.8,1,0,12.6,12.2,8.4,43.2,4.8,6,0.4,9.6,9.4,3,0,1
"71","2019-01-22","OKC",7.8,7,3.8,52.2,5.2,5,0,5,5,2.6,1,0,13.2,13,8.6,43.6,6.8,5.8,0.4,10.4,10.2,3,0,1
"72","2019-01-17","OKC",6.4,5.6,5.2,51.6,4.2,4.2,0,6.2,4.6,2.4,1,0,10.8,11.6,7.8,41.2,7.6,5.4,0.2,10.6,10.8,4.2,0,1
"73","2019-01-12","OKC",7,5,4.6,54.4,5.4,3.6,0,5.8,4,2.2,1,0,11,12,6.8,42.2,7.4,5.8,0.6,10.2,10.4,5,0,1
"74","2019-01-08","OKC",6.6,6,4.4,53.8,4.6,4.6,0,6.8,4,2.8,1,0,10.2,12,6.6,45.2,7.8,4.8,0.4,8,11,5,0,1
"75","2019-01-06","OKC",5.8,5.8,5,54.2,4.4,3.6,0.2,7,4.6,2.2,1,0,9.2,11.4,7.4,44.2,6.4,5,0.4,6.6,8.2,5,0,1
"76","2018-12-31","OKC",4.75,5.25,5,56.75,4.75,3.25,0.25,6.5,4.75,1.5,1,0,8,10.5,6.5,43.75,4.75,5.75,0.5,6.5,8,5.25,0,1
"77","2018-12-23","OKC",5.2,5.4,2.8,54.8,5,3.4,0.2,5.8,5.6,1.6,1,0,10.4,9.8,7,45.8,6,6.2,0.4,5.2,6.6,4.6,0,1
"78","2018-12-17","OKC",5.2,6,2,51.6,4.4,4,0.2,5.8,5.2,1.6,1,0,10.4,10.2,9.2,46.8,7.4,6,0,5.8,5.8,3.6,0,1
"79","2018-12-15","OKC",5.4,5,1.6,53.2,4.4,3,0.2,4.6,5.8,0.8,1,0,11.4,10.4,10.4,45,6.4,7.4,0.2,6.6,5.2,3.2,0,1
"80","2018-12-10","OKC",5.6,6,2,54.6,4.6,3.4,0,4.6,5.2,1.2,1,0,11,10.6,11.4,47.4,6.8,6.4,0.2,6.4,5.2,3.2,0,1
"81","2018-11-30","OKC",5,6.4,2.4,54.2,3.4,3.2,0,5.2,4.8,1.8,1,0,10.4,11,11.6,49,7.2,4.8,0.2,6.8,5.8,3.8,0,1
"82","2018-11-28","OKC",6.2,5,3,53.4,4,3.2,0,3.4,3.8,2.2,1,0,11.8,11.8,13,43.8,6.4,5.6,0.4,6.8,5.6,2.6,0,1
"83","2018-11-24","OKC",5.6,5.2,4.4,55.4,3.4,3,0,3.8,4.4,2,1,0,10.8,11.6,12,40.6,7,5.8,0.4,6.8,5.8,2.8,0,1
"84","2018-11-23","OKC",5,4.6,5.4,58.4,3.2,3.6,0,3.6,3.8,2.2,1,0,11,10.6,11.2,43.6,6.6,4,0.4,6.4,5.8,3.6,0,1
"85","2018-11-14","OKC",5,3.8,5.4,56.8,2,3.2,0.2,3.2,4.4,2.2,1,0,12,10.4,10.4,44.6,6.4,3.8,0.4,7.2,5.2,3.2,0,1
